일차,구역ID,구역명,고객분류,에이전트ID,상품명,가격,체류시간,시간대
1,ice1,아이스크림1,adult_female,33,스크류바,600,4.8,10시
1,snack1,과자1,adult_female,33,크래커,1200,5.2,10시
1,snack1,과자1,adult_male,34,포테이토칩,1500,3.9,17시
1,ice5,아이스크림5,adult_female,35,스크류바,600,7.3,17시
1,snack1,과자1,adult_female,35,포테이토칩,1500,6.4,17시
1,beverage,음료,adult_male,36,파워에이드,1500,9.4,18시
1,ice6,아이스크림6,adult_male,36,하드보스,1200,19.9,18시
1,beverage,음료,adult_male,38,아메리카노,2000,8.8,13시
1,snack2,과자2,minor_male,39,바나나킥,500,11.4,15시
1,ice5,아이스크림5,minor_male,39,수박바,600,11.0,15시
1,ice6,아이스크림6,minor_male,39,하드보스,1200,8.8,15시
1,ice1,아이스크림1,minor_male,39,죠스바,700,7.1,15시
1,ice2,아이스크림2,minor_male,39,하겐다즈,3500,10.8,15시
1,ice3,아이스크림3,adult_female,40,구구콘,1200,6.6,16시
1,ice4,아이스크림4,adult_female,40,투게더대,2000,16.0,16시
1,ice4,아이스크림4,minor_female,42,투게더대,2000,12.9,14시
1,ice6,아이스크림6,minor_female,42,빵빠레,1200,11.9,14시
1,ice3,아이스크림3,adult_female,43,부라보콘,1200,11.4,17시
1,ice5,아이스크림5,adult_female,43,스크류바,600,10.8,17시
1,ice4,아이스크림4,adult_female,43,아이스케이크,2500,12.1,17시
1,ice4,아이스크림4,minor_female,44,프리미엄하드,1800,13.5,13시
1,snack2,과자2,minor_female,44,꼬깔콘,800,17.8,13시
1,ice6,아이스크림6,minor_male,45,아이스샌드,1800,11.6,18시
1,ice5,아이스크림5,minor_male,45,설레임,1200,3.1,18시
1,snack1,과자1,minor_male,45,초코과자,1800,3.5,18시
1,ice3,아이스크림3,minor_male,45,비비빅,1400,6.7,18시
1,ice2,아이스크림2,minor_male,45,메로나4입,2400,13.5,18시
1,ice3,아이스크림3,adult_female,46,비비빅,1400,7.5,13시
1,ice5,아이스크림5,adult_female,46,카나페,1200,7.0,13시
1,ice4,아이스크림4,adult_female,46,프리미엄하드,1800,11.5,13시
1,ice2,아이스크림2,adult_female,46,하겐다즈,3500,7.4,13시
1,ice1,아이스크림1,adult_male,47,죠스바,700,9.3,11시
1,ice3,아이스크림3,adult_male,47,빵빠레,1400,9.4,11시
1,ice4,아이스크림4,minor_female,48,아이스케이크,2500,9.3,21시
1,beverage,음료,minor_female,48,파워에이드,1500,7.6,21시
1,ice4,아이스크림4,minor_female,49,프리미엄하드,1800,16.7,19시
1,beverage,음료,minor_female,49,포카리스웨트,1800,7.5,19시
1,ice6,아이스크림6,minor_female,49,빵빠레,1200,5.5,19시
1,ice1,아이스크림1,adult_male,50,죠스바,700,8.8,13시
1,ice6,아이스크림6,adult_male,50,월드콘,1200,16.2,13시
1,ice4,아이스크림4,adult_male,50,프리미엄하드,1800,13.6,13시
1,ice4,아이스크림4,minor_female,51,아이스케이크,2500,16.1,17시
1,snack2,과자2,minor_female,51,바나나킥,500,6.4,17시
1,beverage,음료,minor_female,51,커피,1500,5.3,17시
1,ice5,아이스크림5,minor_male,52,설레임,1200,3.9,14시
1,ice4,아이스크림4,minor_male,52,대용량아이스,1500,12.7,14시
1,beverage,음료,adult_female,53,카페라떼,2000,6.1,17시
1,ice3,아이스크림3,adult_female,53,메로나,600,4.8,17시
1,ice5,아이스크림5,adult_female,53,카나페,1200,11.1,17시
1,ice4,아이스크림4,adult_female,53,투게더대,2000,12.8,17시
1,ice5,아이스크림5,minor_female,54,수박바,600,8.1,18시
1,ice3,아이스크림3,minor_female,54,부라보콘,1200,5.7,18시
1,ice5,아이스크림5,adult_female,55,탱크보이,800,10.8,12시
1,ice3,아이스크림3,adult_female,55,구구콘,1200,10.3,12시
1,beverage,음료,adult_female,55,아메리카노,2000,3.1,12시
1,ice6,아이스크림6,minor_male,56,월드콘,1200,14.9,14시
1,ice5,아이스크림5,minor_male,56,스크류바,600,3.5,14시
1,snack2,과자2,minor_male,56,꼬깔콘,800,10.5,14시
1,beverage,음료,minor_male,56,파워에이드,1500,3.5,14시
1,ice1,아이스크림1,minor_male,56,아이스바,800,4.0,14시
1,ice5,아이스크림5,minor_male,57,설레임,1200,9.9,15시
1,ice2,아이스크림2,minor_male,57,투게더,2500,9.0,15시
1,ice3,아이스크림3,minor_male,57,구구콘,1200,7.4,15시
1,snack2,과자2,minor_female,58,사탕,300,6.7,16시
1,ice4,아이스크림4,minor_female,58,대용량아이스,1500,14.7,16시
1,ice5,아이스크림5,minor_female,58,스크류바,600,6.2,16시
1,snack2,과자2,minor_female,59,짱구,500,16.0,16시
1,ice5,아이스크림5,minor_female,60,설레임,1200,6.1,20시
1,ice4,아이스크림4,minor_female,60,프리미엄하드,1800,14.8,20시
1,snack1,과자1,minor_female,60,새우과자,1500,3.6,20시
1,ice3,아이스크림3,adult_female,61,빵빠레,1400,9.4,13시
1,ice2,아이스크림2,adult_female,61,투게더,2500,9.9,13시
1,snack1,과자1,adult_female,61,초코과자,1800,4.5,13시
1,ice5,아이스크림5,adult_female,62,탱크보이,800,9.9,13시
1,beverage,음료,adult_female,62,포카리스웨트,1800,5.3,13시
1,snack2,과자2,adult_female,62,알감자,500,7.3,13시
1,beverage,음료,adult_female,63,포카리스웨트,1800,7.0,18시
1,ice3,아이스크림3,adult_female,63,구구콘,1200,6.3,18시
1,ice4,아이스크림4,adult_female,63,아이스케이크,2500,13.5,18시
1,ice2,아이스크림2,adult_female,63,하겐다즈,3500,5.9,18시
1,beverage,음료,adult_female,64,카페라떼,2000,6.7,14시
1,snack1,과자1,adult_female,64,크래커,1200,5.5,14시
1,ice1,아이스크림1,adult_female,64,스크류바,600,4.7,14시
1,snack1,과자1,adult_male,65,새우과자,1500,5.2,12시
1,beverage,음료,adult_female,66,커피,1500,8.8,13시
1,ice3,아이스크림3,adult_female,66,빵빠레,1400,8.9,13시
1,ice5,아이스크림5,minor_male,67,수박바,600,6.1,10시
1,ice3,아이스크림3,minor_male,67,빵빠레,1400,9.2,10시
1,ice4,아이스크림4,minor_male,67,프리미엄하드,1800,19.9,10시
1,ice3,아이스크림3,adult_female,68,메로나,600,9.4,19시
1,ice6,아이스크림6,adult_female,68,하드보스,1200,18.1,19시
1,ice5,아이스크림5,minor_male,69,수박바,600,4.2,19시
1,ice6,아이스크림6,minor_male,69,하드보스,1200,6.4,19시
1,ice4,아이스크림4,minor_male,69,프리미엄하드,1800,12.3,19시
1,ice4,아이스크림4,minor_female,70,아이스케이크,2500,18.6,13시
1,ice5,아이스크림5,minor_female,70,수박바,600,10.9,13시
1,ice3,아이스크림3,minor_female,70,메로나,600,7.0,13시
1,snack2,과자2,minor_female,71,꼬깔콘,800,8.0,12시
1,ice4,아이스크림4,minor_female,71,대용량아이스,1500,18.8,12시
1,ice5,아이스크림5,minor_female,71,스크류바,600,7.2,12시
1,ice1,아이스크림1,minor_female,71,스크류바,600,6.5,12시
1,ice3,아이스크림3,adult_male,72,빵빠레,1400,11.2,12시
1,ice4,아이스크림4,adult_male,72,대용량아이스,1500,9.1,12시
1,ice2,아이스크림2,adult_male,72,아이스세트,2800,13.8,12시
1,ice6,아이스크림6,adult_male,73,구구콘,1200,16.9,14시
1,ice5,아이스크림5,adult_male,73,스크류바,600,10.5,14시
1,ice5,아이스크림5,adult_female,74,스크류바,600,5.7,10시
1,ice4,아이스크림4,adult_male,75,프리미엄하드,1800,12.2,18시
1,ice5,아이스크림5,minor_male,76,탱크보이,800,8.7,11시
1,ice3,아이스크림3,minor_male,76,구구콘,1200,5.1,11시
1,ice4,아이스크림4,minor_female,77,프리미엄하드,1800,8.4,12시
1,ice5,아이스크림5,minor_female,77,탱크보이,800,11.0,12시
1,beverage,음료,minor_female,77,아메리카노,2000,6.8,12시
1,ice1,아이스크림1,adult_male,78,쮸쮸바,400,9.8,16시
1,snack1,과자1,adult_male,78,초코과자,1800,5.6,16시
1,snack1,과자1,adult_male,79,초코과자,1800,6.0,16시
1,beverage,음료,adult_female,80,포카리스웨트,1800,4.0,17시
1,ice6,아이스크림6,adult_female,80,구구콘,1200,5.5,17시
1,ice2,아이스크림2,adult_female,80,나뚜루파인트,3000,8.6,17시
1,ice5,아이스크림5,minor_male,81,설레임,1200,5.2,16시
1,snack2,과자2,minor_male,81,사탕,300,11.5,16시
1,ice4,아이스크림4,minor_male,81,아이스케이크,2500,16.4,16시
1,snack1,과자1,minor_male,82,콘스낵,1200,7.7,21시
1,ice2,아이스크림2,minor_male,82,투게더,2500,14.3,21시
1,ice5,아이스크림5,adult_female,83,카나페,1200,4.2,11시
1,snack1,과자1,adult_female,83,새우과자,1500,8.0,11시
1,ice4,아이스크림4,adult_female,83,아이스케이크,2500,17.9,11시
1,ice6,아이스크림6,minor_male,84,빵빠레,1200,9.6,14시
1,ice5,아이스크림5,minor_male,84,탱크보이,800,11.1,14시
1,ice5,아이스크림5,minor_male,85,수박바,600,8.2,11시
1,snack1,과자1,minor_male,85,새우과자,1500,5.9,11시
1,beverage,음료,minor_male,85,카페라떼,2000,9.2,11시
1,ice3,아이스크림3,adult_female,86,부라보콘,1200,7.7,18시
1,ice2,아이스크림2,adult_female,86,투게더,2500,8.1,18시
1,ice4,아이스크림4,minor_female,87,프리미엄하드,1800,18.4,11시
1,snack1,과자1,minor_female,87,초코과자,1800,8.7,11시
1,ice6,아이스크림6,adult_male,88,월드콘,1200,8.2,12시
1,ice2,아이스크림2,adult_male,88,아이스세트,2800,7.8,12시
1,ice5,아이스크림5,adult_male,89,카나페,1200,4.8,10시
1,ice1,아이스크림1,adult_male,89,아이스바,800,5.7,10시
1,beverage,음료,adult_male,90,커피,1500,6.6,21시
1,ice6,아이스크림6,adult_male,90,빵빠레,1200,17.1,21시
1,ice5,아이스크림5,minor_male,91,수박바,600,7.6,15시
1,beverage,음료,minor_male,91,커피,1500,9.9,15시
1,ice4,아이스크림4,adult_female,92,아이스케이크,2500,9.3,13시
1,ice2,아이스크림2,adult_female,92,하겐다즈,3500,9.2,13시
1,ice3,아이스크림3,adult_female,93,메로나,600,7.7,18시
1,ice5,아이스크림5,adult_female,93,탱크보이,800,6.2,18시
1,ice1,아이스크림1,adult_female,93,스크류바,600,7.3,18시
1,ice1,아이스크림1,adult_male,94,아이스바,800,8.1,13시
1,snack1,과자1,adult_male,94,새우과자,1500,7.7,13시
1,ice5,아이스크림5,minor_female,95,탱크보이,800,5.4,20시
1,ice6,아이스크림6,minor_female,95,하드보스,1200,7.1,20시
1,beverage,음료,minor_female,95,파워에이드,1500,4.7,20시
1,snack2,과자2,adult_male,96,꼬깔콘,800,17.1,12시
1,ice2,아이스크림2,adult_female,97,아이스세트,2800,6.8,12시
1,ice6,아이스크림6,adult_female,97,구구콘,1200,16.8,12시
1,ice5,아이스크림5,minor_female,98,카나페,1200,7.5,10시
1,ice4,아이스크림4,minor_female,98,아이스케이크,2500,12.0,10시
1,snack2,과자2,minor_female,98,짱구,500,14.3,10시
1,ice5,아이스크림5,minor_male,99,탱크보이,800,5.9,12시
1,ice2,아이스크림2,minor_male,99,투게더,2500,8.8,12시
1,ice4,아이스크림4,minor_female,100,투게더대,2000,18.7,13시
1,ice5,아이스크림5,adult_female,101,카나페,1200,9.1,12시
1,ice3,아이스크림3,adult_female,101,구구콘,1200,8.2,12시
1,snack1,과자1,adult_female,101,콘스낵,1200,3.4,12시
1,ice2,아이스크림2,adult_male,102,나뚜루파인트,3000,14.0,15시
1,snack1,과자1,adult_male,102,새우과자,1500,6.2,15시
1,ice4,아이스크림4,minor_male,103,대용량아이스,1500,19.2,13시
1,snack1,과자1,adult_male,104,초코과자,1800,6.8,14시
1,ice2,아이스크림2,adult_male,104,하겐다즈,3500,8.9,14시
1,ice4,아이스크림4,minor_female,105,투게더대,2000,12.2,17시
1,ice1,아이스크림1,minor_female,105,수박바,700,9.2,17시
1,ice2,아이스크림2,adult_male,106,하겐다즈,3500,6.4,10시
1,beverage,음료,adult_male,106,카페라떼,2000,5.2,10시
1,ice2,아이스크림2,adult_male,107,아이스세트,2800,10.0,19시
1,beverage,음료,adult_male,107,포카리스웨트,1800,8.5,19시
1,ice5,아이스크림5,adult_female,108,설레임,1200,8.0,13시
1,ice3,아이스크림3,adult_female,108,비비빅,1400,6.0,13시
1,snack1,과자1,adult_female,108,포테이토칩,1500,9.5,13시
1,ice3,아이스크림3,adult_male,109,부라보콘,1200,11.7,13시
1,snack2,과자2,adult_male,109,꼬깔콘,800,17.5,13시
1,ice4,아이스크림4,adult_male,109,프리미엄하드,1800,19.0,13시
1,ice1,아이스크림1,adult_female,110,죠스바,700,5.2,12시
1,snack1,과자1,adult_female,110,크래커,1200,5.9,12시
1,snack1,과자1,minor_male,111,초코과자,1800,6.9,10시
1,ice5,아이스크림5,minor_male,111,스크류바,600,5.3,10시
1,ice4,아이스크림4,minor_male,111,아이스케이크,2500,13.5,10시
1,ice2,아이스크림2,adult_male,112,하겐다즈,3500,13.4,17시
1,ice4,아이스크림4,adult_male,112,대용량아이스,1500,12.5,17시
1,ice1,아이스크림1,minor_male,113,수박바,700,9.4,10시
1,ice2,아이스크림2,minor_male,113,메로나4입,2400,10.2,10시
1,ice5,아이스크림5,adult_female,114,스크류바,600,9.8,18시
1,snack1,과자1,adult_female,114,포테이토칩,1500,5.6,18시
1,ice5,아이스크림5,minor_male,115,탱크보이,800,9.2,11시
1,ice2,아이스크림2,minor_male,115,투게더,2500,5.5,11시
1,ice4,아이스크림4,minor_male,115,투게더대,2000,18.8,11시
1,ice3,아이스크림3,adult_male,116,메로나,600,10.8,18시
1,ice5,아이스크림5,adult_male,117,스크류바,600,5.9,21시
1,ice3,아이스크림3,adult_female,118,부라보콘,1200,4.7,13시
1,beverage,음료,adult_female,118,커피,1500,8.2,13시
1,ice4,아이스크림4,adult_female,118,투게더대,2000,13.3,13시
1,snack2,과자2,adult_female,118,꼬깔콘,800,6.7,13시
1,ice5,아이스크림5,adult_female,119,수박바,600,6.7,15시
1,ice3,아이스크림3,adult_female,119,빵빠레,1400,8.6,15시
1,ice6,아이스크림6,adult_female,119,구구콘,1200,7.5,15시
1,ice3,아이스크림3,adult_female,120,부라보콘,1200,9.0,11시
1,snack1,과자1,adult_female,120,포테이토칩,1500,6.2,11시
1,ice4,아이스크림4,minor_female,121,프리미엄하드,1800,16.3,13시
1,beverage,음료,adult_female,122,파워에이드,1500,10.0,15시
1,ice5,아이스크림5,adult_female,122,설레임,1200,3.2,15시
1,ice3,아이스크림3,adult_female,122,비비빅,1400,7.5,15시
1,snack1,과자1,adult_female,122,새우과자,1500,8.7,15시
1,ice3,아이스크림3,minor_male,123,구구콘,1200,7.3,11시
1,ice6,아이스크림6,adult_female,124,빵빠레,1200,6.6,19시
1,ice3,아이스크림3,adult_female,125,부라보콘,1200,11.4,15시
1,beverage,음료,adult_female,125,아메리카노,2000,5.4,15시
1,ice4,아이스크림4,adult_female,125,투게더대,2000,14.3,15시
1,ice3,아이스크림3,adult_female,126,부라보콘,1200,6.0,17시
1,snack2,과자2,adult_female,126,꼬깔콘,800,9.3,17시
1,ice2,아이스크림2,adult_female,126,하겐다즈,3500,7.3,17시
1,snack1,과자1,adult_male,127,포테이토칩,1500,4.4,16시
1,beverage,음료,adult_female,128,포카리스웨트,1800,7.1,13시
1,ice5,아이스크림5,adult_female,128,탱크보이,800,8.6,13시
1,ice2,아이스크림2,adult_female,128,하겐다즈,3500,11.7,13시
1,ice5,아이스크림5,adult_female,129,설레임,1200,7.4,12시
1,ice3,아이스크림3,adult_female,129,부라보콘,1200,8.4,12시
1,ice2,아이스크림2,adult_female,129,메로나4입,2400,6.9,12시
1,snack2,과자2,adult_male,130,바나나킥,500,11.4,13시
1,ice3,아이스크림3,adult_male,130,비비빅,1400,10.4,13시
1,ice2,아이스크림2,adult_male,131,나뚜루파인트,3000,14.9,15시
1,snack1,과자1,minor_male,132,포테이토칩,1500,3.6,14시
1,ice4,아이스크림4,minor_male,132,아이스케이크,2500,17.3,14시
1,beverage,음료,minor_male,132,포카리스웨트,1800,9.0,14시
1,ice6,아이스크림6,adult_male,133,하드보스,1200,19.7,11시
1,ice2,아이스크림2,adult_male,133,나뚜루파인트,3000,7.7,11시
1,ice4,아이스크림4,adult_male,134,대용량아이스,1500,17.1,17시
1,snack1,과자1,adult_male,134,포테이토칩,1500,7.4,17시
1,snack2,과자2,minor_male,135,꼬깔콘,800,16.0,19시
1,snack1,과자1,minor_male,135,포테이토칩,1500,7.4,19시
1,ice1,아이스크림1,minor_male,135,쮸쮸바,400,8.6,19시
1,beverage,음료,minor_male,135,카페라떼,2000,8.8,19시
1,ice5,아이스크림5,minor_female,136,설레임,1200,10.5,13시
1,ice2,아이스크림2,minor_female,136,아이스세트,2800,9.4,13시
1,ice4,아이스크림4,adult_male,137,프리미엄하드,1800,8.6,16시
1,ice2,아이스크림2,adult_male,137,나뚜루파인트,3000,9.3,16시
1,snack2,과자2,adult_male,138,바나나킥,500,10.5,14시
1,ice2,아이스크림2,adult_male,138,나뚜루파인트,3000,7.3,14시
1,beverage,음료,adult_male,138,카페라떼,2000,3.7,14시
1,ice2,아이스크림2,adult_male,139,아이스세트,2800,11.3,18시
1,ice4,아이스크림4,adult_male,139,프리미엄하드,1800,15.4,18시
1,ice5,아이스크림5,adult_male,140,탱크보이,800,8.4,11시
1,ice6,아이스크림6,adult_male,140,구구콘,1200,16.7,11시
1,ice5,아이스크림5,adult_male,141,카나페,1200,8.3,16시
1,snack2,과자2,minor_female,142,바나나킥,500,15.0,19시
1,ice5,아이스크림5,minor_female,142,카나페,1200,3.1,19시
1,ice4,아이스크림4,minor_female,142,아이스케이크,2500,19.4,19시
1,ice2,아이스크림2,minor_female,142,아이스세트,2800,11.3,19시
1,ice1,아이스크림1,minor_female,142,아이스바,800,6.0,19시
1,beverage,음료,adult_female,143,커피,1500,8.8,12시
1,ice5,아이스크림5,adult_female,143,설레임,1200,5.8,12시
1,ice4,아이스크림4,adult_female,143,대용량아이스,1500,8.7,12시
1,ice6,아이스크림6,adult_female,143,월드콘,1200,6.7,12시
1,ice5,아이스크림5,adult_female,144,탱크보이,800,7.7,17시
1,ice6,아이스크림6,adult_female,144,구구콘,1200,7.5,17시
1,snack1,과자1,adult_female,144,포테이토칩,1500,8.1,17시
1,ice5,아이스크림5,adult_female,145,설레임,1200,10.7,14시
1,ice3,아이스크림3,adult_female,145,메로나,600,6.0,14시
1,ice6,아이스크림6,adult_female,145,하드보스,1200,15.1,14시
1,ice2,아이스크림2,adult_male,146,아이스세트,2800,10.5,18시
1,ice5,아이스크림5,adult_male,146,탱크보이,800,5.0,18시
1,beverage,음료,adult_male,146,카페라떼,2000,4.9,18시
1,snack1,과자1,adult_male,147,새우과자,1500,5.2,16시
1,beverage,음료,adult_male,147,파워에이드,1500,3.1,16시
1,ice3,아이스크림3,adult_male,148,비비빅,1400,9.1,13시
1,ice4,아이스크림4,minor_female,149,아이스케이크,2500,19.7,10시
1,ice2,아이스크림2,minor_female,149,투게더,2500,14.0,10시
1,beverage,음료,minor_female,149,파워에이드,1500,6.2,10시
1,snack1,과자1,adult_male,150,초코과자,1800,5.2,11시
1,ice5,아이스크림5,adult_female,151,설레임,1200,6.7,13시
1,ice4,아이스크림4,minor_female,152,투게더대,2000,19.6,11시
1,ice3,아이스크림3,minor_female,152,부라보콘,1200,9.4,11시
1,ice2,아이스크림2,minor_female,152,아이스세트,2800,5.3,11시
1,ice5,아이스크림5,adult_female,153,카나페,1200,6.4,15시
1,ice3,아이스크림3,adult_female,153,비비빅,1400,8.7,15시
1,snack1,과자1,adult_female,153,새우과자,1500,3.2,15시
1,ice4,아이스크림4,adult_female,153,아이스케이크,2500,17.7,15시
1,snack1,과자1,adult_male,154,초코과자,1800,4.5,20시
1,ice2,아이스크림2,adult_male,154,메로나4입,2400,9.5,20시
1,snack2,과자2,adult_male,154,짱구,500,13.0,20시
1,beverage,음료,adult_female,155,파워에이드,1500,6.7,19시
1,snack1,과자1,adult_female,155,초코과자,1800,8.6,19시
1,ice2,아이스크림2,adult_female,155,투게더,2500,9.8,19시
1,ice4,아이스크림4,minor_female,156,대용량아이스,1500,11.4,14시
1,snack1,과자1,minor_female,156,크래커,1200,6.7,14시
1,beverage,음료,minor_female,156,아메리카노,2000,9.8,14시
1,beverage,음료,adult_male,157,파워에이드,1500,3.2,18시
1,beverage,음료,adult_female,158,커피,1500,4.5,15시
1,ice4,아이스크림4,minor_female,159,아이스케이크,2500,12.7,13시
1,beverage,음료,minor_female,159,포카리스웨트,1800,8.1,13시
1,ice2,아이스크림2,minor_male,160,메로나4입,2400,14.7,12시
1,ice5,아이스크림5,adult_female,161,카나페,1200,6.1,18시
1,ice4,아이스크림4,adult_female,161,아이스케이크,2500,17.9,18시
1,ice5,아이스크림5,adult_female,162,스크류바,600,6.8,13시
1,ice2,아이스크림2,adult_female,162,메로나4입,2400,9.9,13시
1,ice5,아이스크림5,adult_female,163,스크류바,600,3.9,18시
1,ice4,아이스크림4,adult_female,163,투게더대,2000,9.9,18시
1,beverage,음료,adult_female,164,파워에이드,1500,4.3,21시
1,snack1,과자1,adult_female,164,크래커,1200,4.9,21시
1,ice5,아이스크림5,adult_male,165,카나페,1200,8.4,14시
1,ice6,아이스크림6,adult_male,166,구구콘,1200,14.6,16시
1,ice5,아이스크림5,adult_male,166,스크류바,600,11.0,16시
1,ice4,아이스크림4,adult_male,167,투게더대,2000,17.1,18시
1,ice2,아이스크림2,adult_male,167,아이스세트,2800,13.4,18시
1,snack1,과자1,adult_male,167,새우과자,1500,9.8,18시
1,ice4,아이스크림4,adult_female,168,대용량아이스,1500,9.5,12시
