에이전트ID,고객분류,고객분류명,구역ID,구역명,상품명,가격,체류시간,일차,시간대
85,adult_male,성년 남성,frozen,냉동식품,냉동피자,8000,9.4,1,16시
85,adult_male,성년 남성,beverage,음료,탄산수,1200,8.8,1,16시
86,adult_female,성년 여성,frozen,냉동식품,핫도그,2500,6.5,1,14시
87,adult_female,성년 여성,cosmetic,화장품,블러셔,14000,9.0,1,14시
87,adult_female,성년 여성,premium,프리미엄,위스키,45000,9.3,1,14시
88,adult_male,성년 남성,daily,생활용품,샴푸,8000,9.6,1,16시
88,adult_male,성년 남성,premium,프리미엄,위스키,45000,8.7,1,16시
89,adult_female,성년 여성,cosmetic,화장품,마스카라,12000,6.2,1,11시
89,adult_female,성년 여성,premium,프리미엄,프리미엄커피,12000,6.9,1,11시
90,adult_female,성년 여성,frozen,냉동식품,어묵,3000,4.6,1,11시
91,minor_female,미성년 여성,snack,과자/스낵,새우깡,1500,3.8,1,12시
92,minor_male,미성년 남성,beverage,음료,우유,1800,3.3,1,12시
92,minor_male,미성년 남성,snack,과자/스낵,사탕,800,4.1,1,12시
93,adult_male,성년 남성,daily,생활용품,휴지,4500,4.8,1,13시
93,adult_male,성년 남성,snack,과자/스낵,포카칩,1800,6.1,1,13시
94,adult_male,성년 남성,premium,프리미엄,프리미엄커피,12000,8.4,1,21시
94,adult_male,성년 남성,bakery,베이커리,베이글,2500,7.9,1,21시
95,adult_male,성년 남성,beverage,음료,콜라,1500,7.1,1,15시
95,adult_male,성년 남성,daily,생활용품,치약,3500,10.3,1,15시
95,adult_male,성년 남성,snack,과자/스낵,새우깡,1500,9.8,1,15시
95,adult_male,성년 남성,cosmetic,화장품,블러셔,14000,6.5,1,15시
96,minor_female,미성년 여성,beverage,음료,에너지드링크,2200,4.9,1,11시
97,adult_female,성년 여성,cosmetic,화장품,마스카라,12000,9.1,1,19시
99,adult_female,성년 여성,bakery,베이커리,샌드위치,4500,7.4,1,16시
99,adult_female,성년 여성,premium,프리미엄,럼,28000,9.1,1,16시
100,adult_male,성년 남성,premium,프리미엄,브랜디,42000,6.3,1,12시
100,adult_male,성년 남성,cosmetic,화장품,립밤,8000,5.8,1,12시
101,adult_male,성년 남성,premium,프리미엄,수입치즈,18000,4.0,1,17시
102,minor_female,미성년 여성,bakery,베이커리,머핀,2500,4.7,1,14시
102,minor_female,미성년 여성,beverage,음료,이온음료,1800,4.4,1,14시
103,adult_male,성년 남성,daily,생활용품,핸드크림,6000,9.6,1,21시
106,adult_female,성년 여성,daily,생활용품,핸드크림,6000,7.0,1,19시
106,adult_female,성년 여성,frozen,냉동식품,냉동새우,12000,10.3,1,19시
108,adult_female,성년 여성,beverage,음료,콜라,1500,8.5,1,14시
111,adult_male,성년 남성,daily,생활용품,세제,5000,9.9,1,18시
111,adult_male,성년 남성,beverage,음료,두유,1500,4.5,1,18시
111,adult_male,성년 남성,snack,과자/스낵,젤리,1000,6.5,1,18시
112,adult_female,성년 여성,daily,생활용품,바디로션,8000,8.3,1,18시
112,adult_female,성년 여성,frozen,냉동식품,냉동새우,12000,6.9,1,18시
112,adult_female,성년 여성,bakery,베이커리,케이크,15000,10.1,1,18시
113,adult_male,성년 남성,beverage,음료,사이다,1500,9.2,1,21시
115,adult_female,성년 여성,frozen,냉동식품,냉동치킨,9000,7.3,1,19시
115,adult_female,성년 여성,premium,프리미엄,샴페인,35000,6.0,1,19시
116,adult_male,성년 남성,beverage,음료,녹차,1200,9.0,1,13시
116,adult_male,성년 남성,daily,생활용품,수건,5000,6.4,1,13시
116,adult_male,성년 남성,premium,프리미엄,브랜디,42000,7.2,1,13시
117,adult_male,성년 남성,frozen,냉동식품,만두,5000,4.9,1,15시
117,adult_male,성년 남성,beverage,음료,탄산수,1200,4.4,1,15시
118,minor_male,미성년 남성,snack,과자/스낵,꼬깔콘,1200,2.3,1,11시
119,adult_male,성년 남성,daily,생활용품,수건,5000,7.6,1,20시
119,adult_male,성년 남성,frozen,냉동식품,냉동새우,12000,5.7,1,20시
119,adult_male,성년 남성,premium,프리미엄,브랜디,42000,6.0,1,20시
121,adult_male,성년 남성,beverage,음료,에너지드링크,2200,5.8,1,11시
122,adult_female,성년 여성,beverage,음료,사이다,1500,5.1,1,21시
122,adult_female,성년 여성,frozen,냉동식품,핫도그,2500,8.4,1,21시
122,adult_female,성년 여성,cosmetic,화장품,선크림,20000,8.5,1,21시
123,adult_male,성년 남성,premium,프리미엄,수입치즈,18000,4.5,1,14시
123,adult_male,성년 남성,daily,생활용품,핸드크림,6000,10.2,1,14시
124,minor_female,미성년 여성,bakery,베이커리,에클레어,4000,3.1,1,15시
124,minor_female,미성년 여성,beverage,음료,콜라,1500,3.3,1,15시
126,adult_female,성년 여성,daily,생활용품,바디로션,8000,6.6,1,19시
127,adult_female,성년 여성,daily,생활용품,칫솔,3000,6.9,1,21시
128,adult_female,성년 여성,beverage,음료,이온음료,1800,8.8,1,10시
128,adult_female,성년 여성,frozen,냉동식품,냉동라면,3500,7.3,1,10시
130,adult_male,성년 남성,frozen,냉동식품,냉동피자,8000,5.7,1,20시
130,adult_male,성년 남성,snack,과자/스낵,프링글스,2800,9.5,1,20시
131,adult_female,성년 여성,premium,프리미엄,수입과자,8000,7.3,1,13시
132,adult_male,성년 남성,beverage,음료,에너지드링크,2200,8.8,1,19시
132,adult_male,성년 남성,frozen,냉동식품,아이스크림,2000,9.9,1,19시
132,adult_male,성년 남성,premium,프리미엄,수입과자,8000,3.9,1,19시
132,adult_male,성년 남성,snack,과자/스낵,꼬깔콘,1200,9.9,1,19시
133,minor_female,미성년 여성,snack,과자/스낵,빠다코코낫,1500,2.0,1,18시
133,minor_female,미성년 여성,beverage,음료,녹차,1200,2.2,1,18시
134,adult_male,성년 남성,daily,생활용품,주방세제,4000,5.8,1,19시
135,adult_female,성년 여성,daily,생활용품,샴푸,8000,4.9,1,13시
136,adult_female,성년 여성,cosmetic,화장품,파운데이션,25000,10.1,1,11시
136,adult_female,성년 여성,frozen,냉동식품,냉동피자,8000,9.0,1,11시
138,adult_female,성년 여성,snack,과자/스낵,허니버터칩,2000,6.1,1,12시
139,adult_female,성년 여성,frozen,냉동식품,어묵,3000,5.0,1,13시
141,adult_female,성년 여성,cosmetic,화장품,아이섀도,18000,6.9,1,10시
142,minor_male,미성년 남성,snack,과자/스낵,빠다코코낫,1500,3.2,1,12시
142,minor_male,미성년 남성,cosmetic,화장품,마스카라,12000,2.9,1,12시
143,minor_male,미성년 남성,snack,과자/스낵,새우깡,1500,3.2,1,13시
144,adult_female,성년 여성,daily,생활용품,수건,5000,5.4,1,15시
144,adult_female,성년 여성,bakery,베이커리,에클레어,4000,6.7,1,15시
145,adult_female,성년 여성,premium,프리미엄,프리미엄커피,12000,5.0,1,19시
146,adult_male,성년 남성,beverage,음료,이온음료,1800,6.6,1,15시
147,adult_male,성년 남성,daily,생활용품,샴푸,8000,6.8,1,12시
148,adult_male,성년 남성,cosmetic,화장품,립스틱,15000,5.6,1,17시
149,adult_female,성년 여성,premium,프리미엄,브랜디,42000,8.0,1,15시
151,adult_male,성년 남성,daily,생활용품,비누,2000,6.3,1,12시
152,adult_male,성년 남성,premium,프리미엄,수입과자,8000,9.4,1,16시
153,adult_female,성년 여성,frozen,냉동식품,냉동볶음밥,4500,10.3,1,17시
154,adult_female,성년 여성,beverage,음료,우유,1800,4.3,1,19시
155,minor_female,미성년 여성,beverage,음료,에너지드링크,2200,4.9,1,20시
155,minor_female,미성년 여성,snack,과자/스낵,새우깡,1500,2.5,1,20시
156,adult_female,성년 여성,daily,생활용품,수건,5000,9.4,1,13시
158,adult_male,성년 남성,frozen,냉동식품,군만두,6000,7.7,1,17시
158,adult_male,성년 남성,premium,프리미엄,수입치즈,18000,7.5,1,17시
159,adult_female,성년 여성,daily,생활용품,핸드크림,6000,9.5,1,12시
160,adult_female,성년 여성,frozen,냉동식품,냉동새우,12000,6.9,1,13시
160,adult_female,성년 여성,cosmetic,화장품,아이섀도,18000,4.6,1,13시
161,adult_male,성년 남성,premium,프리미엄,럼,28000,4.7,1,19시
163,adult_female,성년 여성,beverage,음료,이온음료,1800,6.2,1,15시
164,adult_female,성년 여성,beverage,음료,녹차,1200,6.6,1,11시
164,adult_female,성년 여성,snack,과자/스낵,허니버터칩,2000,9.6,1,11시
165,minor_female,미성년 여성,snack,과자/스낵,빠다코코낫,1500,2.3,1,14시
165,minor_female,미성년 여성,beverage,음료,우유,1800,3.5,1,14시
166,adult_male,성년 남성,premium,프리미엄,와인,25000,7.1,1,17시
166,adult_male,성년 남성,daily,생활용품,휴지,4500,9.9,1,17시
167,adult_female,성년 여성,premium,프리미엄,브랜디,42000,5.4,1,11시
169,adult_female,성년 여성,beverage,음료,주스,2500,6.9,1,10시
170,adult_male,성년 남성,frozen,냉동식품,어묵,3000,8.7,1,14시
170,adult_male,성년 남성,premium,프리미엄,위스키,45000,4.4,1,14시
171,adult_female,성년 여성,beverage,음료,두유,1500,9.1,1,21시
172,adult_female,성년 여성,premium,프리미엄,위스키,45000,9.4,1,19시
173,minor_female,미성년 여성,beverage,음료,우유,1800,4.9,1,15시
174,adult_male,성년 남성,premium,프리미엄,수입초콜릿,15000,5.6,1,19시
174,adult_male,성년 남성,frozen,냉동식품,냉동치킨,9000,9.0,1,19시
174,adult_male,성년 남성,cosmetic,화장품,컨실러,16000,7.3,1,19시
175,minor_female,미성년 여성,beverage,음료,에너지드링크,2200,3.7,1,12시
176,adult_female,성년 여성,daily,생활용품,샴푸,8000,7.8,1,13시
177,adult_male,성년 남성,premium,프리미엄,와인,25000,5.5,1,21시
178,minor_female,미성년 여성,beverage,음료,콜라,1500,4.5,1,15시
179,adult_female,성년 여성,frozen,냉동식품,만두,5000,6.6,1,16시
179,adult_female,성년 여성,snack,과자/스낵,사탕,800,5.0,1,16시
180,minor_female,미성년 여성,beverage,음료,주스,2500,4.6,1,16시
181,adult_male,성년 남성,beverage,음료,에너지드링크,2200,5.2,1,12시
181,adult_male,성년 남성,frozen,냉동식품,군만두,6000,8.5,1,12시
182,minor_female,미성년 여성,bakery,베이커리,케이크,15000,1.9,1,12시
183,adult_male,성년 남성,daily,생활용품,치약,3500,9.0,1,16시
183,adult_male,성년 남성,beverage,음료,탄산수,1200,8.5,1,16시
184,adult_female,성년 여성,daily,생활용품,치약,3500,9.1,1,16시
185,adult_male,성년 남성,beverage,음료,주스,2500,10.3,1,16시
185,adult_male,성년 남성,frozen,냉동식품,핫도그,2500,7.9,1,16시
185,adult_male,성년 남성,bakery,베이커리,에클레어,4000,6.9,1,16시
186,adult_male,성년 남성,daily,생활용품,주방세제,4000,6.3,1,13시
188,adult_female,성년 여성,premium,프리미엄,브랜디,42000,6.0,1,14시
188,adult_female,성년 여성,snack,과자/스낵,사탕,800,3.9,1,14시
189,minor_male,미성년 남성,snack,과자/스낵,초코파이,2500,4.8,1,19시
190,minor_female,미성년 여성,snack,과자/스낵,포카칩,1800,4.4,1,21시
191,adult_male,성년 남성,daily,생활용품,바디로션,8000,8.4,1,14시
192,adult_male,성년 남성,daily,생활용품,칫솔,3000,7.6,1,17시
192,adult_male,성년 남성,cosmetic,화장품,파운데이션,25000,9.8,1,17시
193,minor_female,미성년 여성,beverage,음료,콜라,1500,4.8,1,11시
194,minor_male,미성년 남성,beverage,음료,사이다,1500,4.3,1,16시
195,adult_male,성년 남성,daily,생활용품,치약,3500,8.8,1,21시
195,adult_male,성년 남성,premium,프리미엄,샴페인,35000,7.8,1,21시
196,adult_female,성년 여성,bakery,베이커리,에클레어,4000,4.5,1,14시
196,adult_female,성년 여성,frozen,냉동식품,냉동피자,8000,7.1,1,14시
197,minor_male,미성년 남성,beverage,음료,이온음료,1800,4.8,1,13시
197,minor_male,미성년 남성,snack,과자/스낵,사탕,800,5.2,1,13시
198,adult_male,성년 남성,daily,생활용품,휴지,4500,5.2,1,19시
198,adult_male,성년 남성,bakery,베이커리,샌드위치,4500,9.0,1,19시
200,minor_female,미성년 여성,beverage,음료,두유,1500,3.7,1,16시
201,adult_female,성년 여성,bakery,베이커리,샌드위치,4500,6.6,1,13시
202,adult_female,성년 여성,beverage,음료,사이다,1500,4.3,1,21시
202,adult_female,성년 여성,cosmetic,화장품,블러셔,14000,7.6,1,21시
203,minor_female,미성년 여성,beverage,음료,커피,2000,4.5,1,13시
204,adult_male,성년 남성,frozen,냉동식품,군만두,6000,7.1,1,14시
205,adult_female,성년 여성,cosmetic,화장품,마스카라,12000,5.9,1,15시
206,adult_female,성년 여성,premium,프리미엄,수입초콜릿,15000,10.2,1,14시
206,adult_female,성년 여성,frozen,냉동식품,냉동피자,8000,7.2,1,14시
206,adult_female,성년 여성,snack,과자/스낵,오레오,2200,9.9,1,14시
208,adult_female,성년 여성,daily,생활용품,샴푸,8000,4.2,1,14시
209,adult_male,성년 남성,frozen,냉동식품,만두,5000,7.6,1,16시
209,adult_male,성년 남성,premium,프리미엄,위스키,45000,6.6,1,16시
210,adult_female,성년 여성,snack,과자/스낵,새우깡,1500,8.3,1,12시
211,adult_female,성년 여성,frozen,냉동식품,어묵,3000,8.3,1,12시
211,adult_female,성년 여성,beverage,음료,탄산수,1200,8.5,1,12시
211,adult_female,성년 여성,snack,과자/스낵,빠다코코낫,1500,7.3,1,12시
212,adult_female,성년 여성,snack,과자/스낵,프링글스,2800,10.3,1,19시
213,adult_male,성년 남성,frozen,냉동식품,냉동볶음밥,4500,7.0,1,16시
213,adult_male,성년 남성,daily,생활용품,세제,5000,7.2,1,16시
214,adult_female,성년 여성,beverage,음료,콜라,1500,6.9,1,18시
215,adult_female,성년 여성,cosmetic,화장품,파운데이션,25000,4.5,1,11시
216,adult_female,성년 여성,beverage,음료,콜라,1500,3.9,1,18시
216,adult_female,성년 여성,frozen,냉동식품,핫도그,2500,9.0,1,18시
217,adult_female,성년 여성,cosmetic,화장품,파운데이션,25000,9.9,1,14시
217,adult_female,성년 여성,premium,프리미엄,수입치즈,18000,4.9,1,14시
218,adult_female,성년 여성,beverage,음료,탄산수,1200,9.3,1,14시
218,adult_female,성년 여성,frozen,냉동식품,만두,5000,5.9,1,14시
219,adult_female,성년 여성,premium,프리미엄,수입와인,32000,9.1,1,19시
221,adult_male,성년 남성,premium,프리미엄,와인,25000,5.8,1,12시
221,adult_male,성년 남성,daily,생활용품,비누,2000,9.8,1,12시
221,adult_male,성년 남성,beverage,음료,콜라,1500,4.8,1,12시
222,adult_female,성년 여성,daily,생활용품,핸드크림,6000,8.1,1,15시
222,adult_female,성년 여성,snack,과자/스낵,허니버터칩,2000,8.9,1,15시
223,adult_female,성년 여성,beverage,음료,콜라,1500,10.1,1,19시
224,adult_female,성년 여성,cosmetic,화장품,컨실러,16000,5.1,1,21시
225,adult_male,성년 남성,frozen,냉동식품,아이스크림,2000,6.1,1,14시
225,adult_male,성년 남성,bakery,베이커리,마카롱,5000,6.7,1,14시
226,minor_female,미성년 여성,bakery,베이커리,머핀,2500,2.3,1,21시
227,adult_female,성년 여성,cosmetic,화장품,립밤,8000,5.8,1,18시
228,adult_male,성년 남성,premium,프리미엄,수입와인,32000,7.1,1,19시
229,minor_male,미성년 남성,beverage,음료,커피,2000,1.4,1,17시
230,adult_female,성년 여성,bakery,베이커리,소금빵,2000,4.6,1,20시
230,adult_female,성년 여성,premium,프리미엄,샴페인,35000,7.1,1,20시
230,adult_female,성년 여성,daily,생활용품,수건,5000,7.2,1,20시
232,adult_male,성년 남성,daily,생활용품,샴푸,8000,8.5,1,17시
234,adult_female,성년 여성,beverage,음료,두유,1500,4.0,1,17시
234,adult_female,성년 여성,snack,과자/스낵,젤리,1000,4.1,1,17시
235,adult_female,성년 여성,beverage,음료,우유,1800,6.5,1,21시
236,adult_female,성년 여성,premium,프리미엄,럼,28000,7.5,1,16시
238,minor_female,미성년 여성,snack,과자/스낵,초코파이,2500,1.3,1,14시
238,minor_female,미성년 여성,premium,프리미엄,위스키,45000,4.7,1,14시
240,adult_female,성년 여성,frozen,냉동식품,군만두,6000,7.0,1,18시
240,adult_female,성년 여성,premium,프리미엄,샴페인,35000,5.0,1,18시
240,adult_female,성년 여성,bakery,베이커리,치즈케이크,6000,5.5,1,18시
241,minor_male,미성년 남성,beverage,음료,두유,1500,3.6,1,18시
242,adult_female,성년 여성,cosmetic,화장품,BB크림,18000,5.9,1,10시
242,adult_female,성년 여성,daily,생활용품,수건,5000,5.7,1,10시
243,adult_female,성년 여성,frozen,냉동식품,군만두,6000,7.0,1,13시
243,adult_female,성년 여성,cosmetic,화장품,파운데이션,25000,8.3,1,13시
243,adult_female,성년 여성,snack,과자/스낵,초코파이,2500,9.5,1,13시
244,adult_female,성년 여성,bakery,베이커리,샌드위치,4500,6.2,1,13시
244,adult_female,성년 여성,frozen,냉동식품,아이스크림,2000,7.8,1,13시
245,minor_female,미성년 여성,snack,과자/스낵,포카칩,1800,4.7,1,12시
245,minor_female,미성년 여성,beverage,음료,이온음료,1800,3.5,1,12시
245,minor_female,미성년 여성,bakery,베이커리,샌드위치,4500,4.7,1,12시
246,adult_male,성년 남성,daily,생활용품,비누,2000,7.4,1,10시
247,adult_male,성년 남성,frozen,냉동식품,냉동피자,8000,4.5,1,14시
247,adult_male,성년 남성,premium,프리미엄,프리미엄커피,12000,7.6,1,14시
248,minor_male,미성년 남성,beverage,음료,커피,2000,2.3,1,12시
249,adult_female,성년 여성,snack,과자/스낵,포카칩,1800,8.5,1,19시
252,minor_female,미성년 여성,beverage,음료,커피,2000,2.1,1,17시
253,adult_male,성년 남성,frozen,냉동식품,만두,5000,9.4,1,10시
253,adult_male,성년 남성,beverage,음료,커피,2000,9.1,1,10시
254,adult_female,성년 여성,beverage,음료,녹차,1200,7.6,1,16시
255,adult_female,성년 여성,beverage,음료,콜라,1500,6.9,1,14시
258,minor_male,미성년 남성,beverage,음료,두유,1500,3.9,1,15시
259,adult_female,성년 여성,beverage,음료,이온음료,1800,9.3,1,19시
259,adult_female,성년 여성,daily,생활용품,치약,3500,5.0,1,19시
261,minor_female,미성년 여성,snack,과자/스낵,새우깡,1500,5.0,1,18시
262,adult_female,성년 여성,beverage,음료,녹차,1200,9.7,1,15시
262,adult_female,성년 여성,cosmetic,화장품,아이라이너,12000,8.5,1,15시
262,adult_female,성년 여성,snack,과자/스낵,오레오,2200,9.0,1,15시
263,adult_female,성년 여성,frozen,냉동식품,냉동라면,3500,9.4,1,20시
263,adult_female,성년 여성,premium,프리미엄,위스키,45000,8.8,1,20시
264,minor_female,미성년 여성,snack,과자/스낵,젤리,1000,1.8,1,15시
265,adult_male,성년 남성,frozen,냉동식품,핫도그,2500,9.0,1,13시
267,adult_female,성년 여성,bakery,베이커리,베이글,2500,8.3,1,16시
268,adult_female,성년 여성,cosmetic,화장품,컨실러,16000,7.7,1,18시
268,adult_female,성년 여성,snack,과자/스낵,꼬깔콘,1200,9.0,1,18시
269,minor_male,미성년 남성,cosmetic,화장품,선크림,20000,4.7,1,12시
271,adult_male,성년 남성,beverage,음료,커피,2000,8.3,1,11시
273,minor_female,미성년 여성,bakery,베이커리,베이글,2500,2.3,1,19시
273,minor_female,미성년 여성,snack,과자/스낵,포카칩,1800,2.5,1,19시
273,minor_female,미성년 여성,beverage,음료,커피,2000,3.3,1,19시
274,adult_female,성년 여성,cosmetic,화장품,선크림,20000,9.1,1,19시
275,minor_male,미성년 남성,beverage,음료,커피,2000,3.1,1,13시
275,minor_male,미성년 남성,premium,프리미엄,위스키,45000,2.9,1,13시
276,adult_female,성년 여성,daily,생활용품,치약,3500,8.8,1,18시
276,adult_female,성년 여성,beverage,음료,주스,2500,7.4,1,18시
276,adult_female,성년 여성,snack,과자/스낵,허니버터칩,2000,5.6,1,18시
277,minor_male,미성년 남성,premium,프리미엄,수입과자,8000,3.7,1,12시
278,adult_male,성년 남성,daily,생활용품,휴지,4500,5.7,1,19시
278,adult_male,성년 남성,beverage,음료,탄산수,1200,5.2,1,19시
279,minor_female,미성년 여성,snack,과자/스낵,포카칩,1800,2.2,1,15시
280,adult_female,성년 여성,daily,생활용품,주방세제,4000,6.9,1,12시
